qid,content
1,图书馆的开馆时间是什么时候
1,什么时候能进图书馆
1,图书馆是什么时候开放
1,什么时候图书馆开馆
1,图书馆开放时间
1,图书馆几点开门
1,图书馆开馆时间
2,图书馆进入许可
2,如何进入图书馆
2,没有校园卡可以进入图书馆吗
2,要带什么证件才能进图书馆
2,不是学生能进图书馆吗
2,校外的人能进图书馆吗
2,外人能进图书馆吗
2,怎么进入图书馆
3,图书馆活动
3,最近图书馆有什么活动
3,图书馆在举办什么活动
3,我想知道图书馆的活动信息
3,我可以在哪里查看图书馆的活动
3,图书馆有什么活动
4,图书馆位置
4,图书馆的位置在哪里
4,我想知道图书馆的位置
4,我该怎么去图书馆
4,我怎么找到图书馆
4,图书馆在什么地方
4,图书馆在哪里
5,图书馆邮政编码
5,图书馆邮编
5,图书馆的邮政编码是多少
5,图书馆的邮编是多少
5,我想知道图书馆邮政编码
5,我想知道图书馆邮编
6,介绍一下图书馆
6,介绍一下图书馆的历史
6,图书馆历史
6,图书馆概况
6,介绍一下图书馆的概况
7,图书馆官网
7,图书馆的官网是什么
7,我们学校图书馆有官网吗
7,我们学校图书馆有官方网站吗
7,图书馆的官方网站是什么
8,图书馆咨询
8,如何咨询图书馆问题
8,我要怎么咨询图书馆问题
8,找谁问图书馆的问题
8,怎么咨询图书馆的问题
8,怎么询问有关图书馆的问题
9,图书馆馆藏
9,图书馆馆藏怎么找
9,馆藏怎么查询
9,馆藏怎么搜索
9,我要怎么搜索书籍
9,我要怎么找想要的书
10,图书馆微信公众号
10,我想知道图书馆的微信公众号
10,图书馆的公众号是多少
11,图书馆联系方式
11,图书馆电话是多少
11,图书馆电话
11,怎么联系图书馆
12,我要怎么找数字资源
12,怎么使用图书馆的电子资源
12,图书馆数字资源
12,图书馆有什么数字资源
12,我要怎么找电子资源
12,怎么使用图书馆的电子资源
12,图书馆电子资源
12,图书馆有什么电子资源
13,图书馆的书包柜怎么用
13,书包柜怎么使用
13,我怎么用书包柜
14,失物招领处在哪里
14,我丢了东西怎么办
14,我怎么在图书馆找到自己遗失的物品
14,我在图书馆丢东西了怎么办
14,图书馆失物招领
14,图书馆有失物招领处吗
14,图书馆有失物招领的地方吗
15,校园卡办理
15,校园卡如何办理
15,怎么办理校园卡
15,校园一卡通怎么办理
15,校园一卡通如何办理
16,校园卡怎么挂失
16,怎么挂失校园卡
16,一卡通怎么挂失
16,校园一卡通怎么挂失
16,校园卡丢了怎么办
16,校园卡挂失
17,读者证办理
17,读者证怎么办理
17,读者证如何办理
18,读者证怎么挂失
18,怎么挂失读者证
18,读者证怎么挂失
18,读者证丢了怎么办
18,读者证挂失
19,老馆位置
19,我要怎么找图书馆老馆
19,老馆的位置在哪里
19,我想知道老馆的位置
19,老馆在什么地方
19,老馆在哪里
19,哪个是老馆
20,新馆位置
20,新馆的位置在哪里
20,我想知道新馆的位置
20,新馆在什么地方
20,新馆在哪里
20,哪个是新馆
21,老馆的开馆时间是什么时候
21,老馆是什么时候开馆
21,老馆是什么时候开放
21,什么时候老馆开馆
21,老馆开放时间
21,老馆几点开门
21,老馆开馆时间
22,新馆的开馆时间是什么时候
22,新馆是什么时候开馆
22,新馆是什么时候开放
22,什么时候新馆开馆
22,新馆几点开门
22,新馆开放时间
22,新馆开馆时间
23,图书借阅区位置
23,图书借阅区的位置在哪里
23,我想知道图书借阅区的位置
23,图书借阅区在什么地方
23,图书借阅区在哪里
24,图书借阅区几点开门
24,图书借阅区什么时候开放
24,图书借阅区开放时间
24,图书借阅区什么时候开
25,图书借阅区馆藏
25,图书借阅区有哪些图书
25,图书借阅区有什么图书
25,图书借阅区有什么书
25,图书借阅区有哪些书
25,图书借阅区有什么类型的书
26,图书借阅区(I)在什么地方
26,图书借阅区(I)位置
26,图书借阅区(I)的位置在哪里
26,我想知道图书借阅区(I)的位置
26,图书借阅区(I)在哪里
27,图书借阅区(I)几点开门
27,图书借阅区(I)什么时候开放
27,图书借阅区(I)开放时间
27,图书借阅区(I)什么时候开
28,图书借阅区(I)馆藏
28,图书借阅区(I)有哪些图书
28,图书借阅区(I)有什么图书
28,图书借阅区(I)有什么书
28,图书借阅区(I)有哪些书
28,图书借阅区(I)有什么类型的书
29,图书借阅区I(B)位置
29,图书借阅区I(B)的位置在哪里
29,我想知道图书借阅区I(B)的位置
29,图书借阅区I(B)在什么地方
29,图书借阅区I(B)在哪里
30,图书借阅区I(B)几点开门
30,图书借阅区I(B)什么时候开放
30,图书借阅区I(B)开放时间
30,图书借阅区I(B)什么时候开
31,图书借阅区I(B)馆藏
31,图书借阅区I(B)有哪些图书
31,图书借阅区I(B)有什么图书
31,图书借阅区I(B)有什么书
31,图书借阅区I(B)有哪些书
31,图书借阅区I(B)有什么类型的书
32,图书借阅区(II)位置
32,图书借阅区(II)的位置在哪里
32,我想知道图书借阅区(II)的位置
32,图书借阅区(II)在什么地方
32,图书借阅区(II)在哪里
33,图书借阅区(II)几点开门
33,图书借阅区(II)什么时候开放
33,图书借阅区(II)开放时间
33,图书借阅区(II)什么时候开
34,图书借阅区(II)馆藏
34,图书借阅区(II)有哪些图书
34,图书借阅区(II)有什么图书
34,图书借阅区(II)有什么书
34,图书借阅区(II)有哪些书
34,图书借阅区(II)有什么类型的书
35,图书借阅区(III)位置
35,图书借阅区(III)的位置在哪里
35,我想知道图书借阅区(III)的位置
35,图书借阅区(III)在什么地方
35,图书借阅区(III)在哪里
36,图书借阅区(III)几点开门
36,图书借阅区(III)什么时候开放
36,图书借阅区(III)开放时间
36,图书借阅区(III)什么时候开
37,图书借阅区(III)馆藏
37,图书借阅区(III)有哪些图书
37,图书借阅区(III)有什么图书
37,图书借阅区(III)有什么书
37,图书借阅区(III)有哪些书
37,图书借阅区(III)有什么类型的书
38,图书借阅区(IV)位置
38,图书借阅区(IV)的位置在哪里
38,我想知道图书借阅区(IV)的位置
38,图书借阅区(IV)在什么地方
38,图书借阅区(IV)在哪里
39,图书借阅区(IV)几点开门
39,图书借阅区(IV)什么时候开放
39,图书借阅区(IV)开放时间
39,图书借阅区(IV)什么时候开
40,图书借阅区(IV)馆藏
40,图书借阅区(IV)有哪些图书
40,图书借阅区(IV)有什么图书
40,图书借阅区(IV)有什么书
40,图书借阅区(IV)有哪些书
40,图书借阅区(IV)有什么类型的书
41,图书借阅区(V)位置
41,图书借阅区(V)的位置在哪里
41,我想知道图书借阅区(V)的位置
41,图书借阅区(V)在什么地方
41,图书借阅区(V)在哪里
42,图书借阅区(V)几点开门
42,图书借阅区(V)什么时候开放
42,图书借阅区(V)开放时间
42,图书借阅区(V)什么时候开
43,图书借阅区(V)馆藏
43,图书借阅区(V)有哪些图书
43,图书借阅区(V)有什么图书
43,图书借阅区(V)有什么书
43,图书借阅区(V)有哪些书
43,图书借阅区(V)有什么类型的书
44,书包柜位置
44,书包柜的位置在哪里
44,我想知道书包柜的位置
44,书包柜在哪
44,书包柜在什么地方
44,图书馆哪里有书包柜
44,图书馆怎么找书包柜
45,读者证有效期
45,读者证在几年内有效
45,读者证的有效期限是几年
45,读者证可以用多久
45,读者证多久有效
45,读者证有效期有多长
45,读者证有效期限是
46,我一次能借几本书
46,我最多能借几本书
46,最多能借几本书
46,一次限借几本书
46,学生一次最多能借几本书
47,阅览室位置
47,阅览室的位置在哪里
47,我想知道阅览室的位置
47,阅览室在什么地方
47,阅览室在哪里
47,阅览室怎么走
48,阅览室几点开门
48,阅览室什么时候开放
48,阅览室开放时间
48,阅览室什么时候开
49,阅览室馆藏
49,阅览室有哪些图书
49,阅览室有什么图书
49,阅览室有什么书
49,阅览室有哪些书
49,阅览室有什么类型的书
50,自修室位置
50,自修室的位置在哪里
50,我想知道自修室的位置
50,自修室在什么地方
50,自修室在哪里
51,自修室几点开门
51,自修室什么时候开放
51,自修室开放时间
51,自修室什么时候开
52,自修室规定
52,自修室有哪些规定
52,自修室有什么规定
52,自修室校外的人可以进来吗
52,自修室有人占座怎么办
52,自修室可以占座吗
53,教师办公室位置
53,教师办公室的位置在哪里
53,我想知道教师办公室的位置
53,教师办公室在什么地方
53,教师办公室在哪里
54,教师办公室几点开门
54,教师办公室什么时候开放
54,教师办公室开放时间
54,教师办公室什么时候开
55,教师办公室能干什么
55,教师办公室能做什么
55,教师办公室的功能是什么
55,我可以在教师办公室做什么
56,信息共享空间位置
56,信息共享空间的位置在哪里
56,我想知道信息共享空间的位置
56,信息共享空间在什么地方
56,信息共享空间在哪里
57,信息共享空间几点开门
57,信息共享空间什么时候开放
57,信息共享空间开放时间
57,信息共享空间什么时候开
58,信息共享空间能干什么
58,信息共享空间能做什么
58,信息共享空间的功能是什么
58,我可以在信息共享空间做什么
59,视听室位置
59,视听室的位置在哪里
59,我想知道视听室的位置
59,视听室在什么地方
59,视听室在哪里
60,视听室几点开门
60,视听室什么时候开放
60,视听室开放时间
60,视听室什么时候开
61,视听室能干什么
61,视听室能做什么
61,视听室的功能是什么
61,我可以在视听室做什么
62,阅览室的图书可以外借吗
62,阅览室的书可以带出来吗
62,阅览室的书只能在里面看吗
63,阅览室能干什么
63,阅览室能做什么
63,阅览室的功能是什么
63,我可以在阅览室做什么
63,阅览室除了看书还能做什么
63,阅览室可以自习吗
64,自修室能做什么
64,自修室的功能是什么
64,我可以在自修室做什么
65,自习室位置
65,自习室的位置在哪里
65,我想知道自习室的位置
65,自习室在什么地方
65,自习室在哪里
66,自习室几点开门
66,自习室什么时候开放
66,自习室开放时间
66,自习室什么时候开
67,自习室规定
67,自习室有哪些规定
67,自习室有什么规定
67,自习室校外的人可以进来吗
67,自习室有人占座怎么办
67,自习室可以占座吗
68,自习室能干什么
68,自习室能做什么
68,自习室的功能是什么
68,我可以在自习室做什么
69,教师工作室位置
69,教师工作室的位置在哪里
69,我想知道教师工作室的位置
69,教师工作室在什么地方
69,教师工作室在哪里
70,教师工作室几点开门
70,教师工作室什么时候开放
70,教师工作室开放时间
70,教师工作室什么时候开
71,教师工作室能干什么
71,教师工作室能做什么
71,教师工作室的功能是什么
71,我可以在教师工作室做什么
72,开水间位置
72,开水间的位置在哪里
72,我想知道开水间的位置
72,开水间在什么地方
72,开水间在哪里
73,开水间几点开门
73,开水间什么时候开放
73,开水间开放时间
73,开水间什么时候开
74,开水间能干什么
74,开水间能做什么
74,开水间的功能是什么
74,我可以在开水间做什么
74,开水间要带什么卡
74,开水间要带校园卡吗
74,开水间要刷卡吗
74,开水间要刷校园卡吗
75,开水房位置
75,开水房的位置在哪里
75,我想知道开水房的位置
75,开水房在什么地方
75,开水房在哪里
76,开水房几点开门
76,开水房什么时候开放
76,开水房开放时间
76,开水房什么时候开
77,开水房能干什么
77,开水房能做什么
77,开水房的功能是什么
77,我可以在开水房做什么
77,开水房要带什么卡
77,开水房要带校园卡吗
77,开水房要刷卡吗
77,开水房要刷校园卡吗
78,图书馆哪里可以打开水
78,哪里可以打水
78,我想打水要去哪里
79,漂流书屋位置
79,漂流书屋的位置在哪里
79,我想知道漂流书屋的位置
79,漂流书屋在什么地方
79,漂流书屋在哪里
80,漂流书屋几点开门
80,漂流书屋什么时候开放
80,漂流书屋开放时间
80,漂流书屋什么时候开
81,漂流书屋能干什么
81,漂流书屋能做什么
81,漂流书屋的功能是什么
81,我可以在漂流书屋做什么
82,怎样才能快速的找到想要借阅的图书呢
82,怎么找到要借的书
82,我想借书要怎么找
82,怎么能够快速地找书
83,图书馆电子邮箱
83,图书馆邮箱地址
83,图书馆的电子邮箱地址是多少
83,图书馆的邮箱地址是多少
83,我想知道图书馆的电子邮箱
83,我想知道图书馆的邮箱
84,可以带东西进图书馆吃吗
84,图书馆里可以吃东西吗
84,可以带食物进图书馆吗
84,进图书馆可以带食品吗
85,老馆入口在哪里
85,老馆从哪里进
85,怎么进老馆
86,新馆入口在哪里
86,新馆从哪里进
86,怎么进新馆
87,图书预约
87,如何预约图书
87,如何申请预约图书
87,我可以在图书馆预约要借的书吗，要怎么做
87,想借的书被别人借去了，能预约吗
88,图书续借
88,我借了一本书，想继续再借一段时间可以吗
88,如何申请续借图书
88,怎么进行图书续借的操作
88,如何续借图书
89,图书荐购
89,如何向图书馆荐购图书
89,如何申请图书荐购
89,自己喜欢的图书，馆里没有，能推荐图书馆购买吗
90,自助借还书机位置
90,自助借还书机的位置在哪里
90,我想知道自助借还书机的位置
90,自助借还书机在什么地方
90,自助借还书机在哪里
91,自助还书系统位置
91,自助还书系统的位置在哪里
91,我想知道自助还书系统的位置
91,自助还书系统在什么地方
91,自助还书系统在哪里
92,怎么还书
92,我想还书
92,书在哪里还
92,我想知道我要怎么还书
92,我要怎么还书
93,第一次用读者证，想知道读者证的密码是多少
93,我想知道读者证的初始密码
93,一般读者证初始密码是多少
93,读者证密码一开始是多少
93,读者证初始密码是多少
94,书刊污损
94,我不小心把借的书沾水了怎么办
94,我不小心把借的书弄皱了怎么办
94,借的书脱页了怎么办
94,我不小心把借的书弄脏了怎么办
95,书刊遗失
95,我把借的书遗失了怎么办
95,怎么赔偿自己丢失的书刊
95,我弄丢了书要怎么赔偿
95,借的书丢了怎么办
96,逾期还书
96,逾期还书会有什么后果
96,超过还书期限没有还书会怎么样
96,超过借书期限没有还书会怎么样
97,我可以借别人的读者证来借书吗
97,读者证可以用别人的吗
97,能用别人的读者证进图书馆吗
97,可以用别人的读者证借书吗
98,电子触摸屏位置
98,电子触摸屏的位置在哪里
98,我想知道电子触摸屏的位置
98,电子触摸屏在什么地方
98,电子触摸屏在哪里
98,哪里有电子触摸屏
99,移动图书馆
99,介绍一下移动图书馆
99,移动图书馆的使用方法
99,移动图书馆怎么用
99,什么是移动图书馆
100,馆际互借
100,告诉我馆际互借的方法
100,怎么申请馆际互借
100,如果我们图书馆没有我想要的书，可以申请向别的图书馆借吗
100,如果我们图书馆没有我想要的书，可以申请馆际互借吗
101,专场讲座预约
101,告诉我预约专场讲座的方法
101,如何申请预约专场讲座
101,怎么申请专场讲座的场地
101,怎么预约专场讲座
102,研讨室位置
102,研讨室的位置在哪里
102,我想知道研讨室的位置
102,研讨室在什么地方
102,研讨室在哪里
103,研讨室几点开门
103,研讨室什么时候开放
103,研讨室开放时间
103,研讨室什么时候开
104,研讨室能干什么
104,研讨室能做什么
104,研讨室的功能是什么
104,我可以在研讨室做什么
105,怎么预约研讨室
105,我想预约研讨室要怎么做
105,我可以通过电子邮件预约图书馆研讨室吗
106,我怎么找不到“可借”的书籍
106,为什么有的书明明显示“可借”，我却找不到
107,图书馆每周都会更新新书吗
107,图书借阅区每周都会有新书吗
108,我想借书里面的随书光盘要怎么做
108,我想借随书光盘要怎么借
108,图书馆的随书光盘怎么借阅
109,图书馆有哪些电子资源，如何访问
109,怎么访问图书馆的电子资源
109,哪里可以获取图书馆的电子资源
110,我可以自己携带笔记本到图书馆使用吗
110,我可以自己携带IPAD到图书馆使用吗
110,我可以自己携带移动设备到图书馆使用吗
110,我可以自带笔记本到图书馆使用吗
110,我可以自带IPAD到图书馆使用吗
110,我可以自带移动设备到图书馆使用吗
110,我可以带自己的电脑去图书馆使用吗
111,怎么在校园网外访问图书馆数字资源
111,怎么在校外获取图书馆的数字资源
111,在校园网外能访问图书馆数字资源吗
112,在图书馆可以查看历年的毕业论文吗
112,我可以在哪里找到历年的毕业论文
112,在图书馆可以查看往届的毕业论文吗
112,我可以在哪里找到往届的毕业论文
112,图书馆有往届的毕业设计论文吗
